exercise_position,position_in_exercise,level,language_name,question_text_en,question_text_bg,answer1_en,answer1_bg,answer2_en,answer2_bg,answer3_en,answer3_bg,answer4_en,answer4_bg,correct_answer_index
2,5,1,Java,What does Java question 15 do?,Какво прави Java въпрос 15?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
2,6,1,Java,What does Java question 16 do?,Какво прави Java въпрос 16?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
2,7,1,Java,What does Java question 17 do?,Какво прави Java въпрос 17?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
2,8,1,Java,What does Java question 18 do?,Какво прави Java въпрос 18?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
2,9,1,Java,What does Java question 19 do?,Какво прави Java въпрос 19?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
2,10,1,Java,What does Java question 20 do?,Какво прави Java въпрос 20?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,1,1,Java,What does Java question 21 do?,Какво прави Java въпрос 21?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,2,1,Java,What does Java question 22 do?,Какво прави Java въпрос 22?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,3,1,Java,What does Java question 23 do?,Какво прави Java въпрос 23?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,4,1,Java,What does Java question 24 do?,Какво прави Java въпрос 24?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,5,1,Java,What does Java question 25 do?,Какво прави Java въпрос 25?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,6,1,Java,What does Java question 26 do?,Какво прави Java въпрос 26?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,7,1,Java,What does Java question 27 do?,Какво прави Java въпрос 27?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,8,1,Java,What does Java question 28 do?,Какво прави Java въпрос 28?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,9,1,Java,What does Java question 29 do?,Какво прави Java въпрос 29?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
3,10,1,Java,What does Java question 30 do?,Какво прави Java въпрос 30?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,1,1,Java,What does Java question 31 do?,Какво прави Java въпрос 31?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,2,1,Java,What does Java question 32 do?,Какво прави Java въпрос 32?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,3,1,Java,What does Java question 33 do?,Какво прави Java въпрос 33?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,4,1,Java,What does Java question 34 do?,Какво прави Java въпрос 34?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,5,1,Java,What does Java question 35 do?,Какво прави Java въпрос 35?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,6,1,Java,What does Java question 36 do?,Какво прави Java въпрос 36?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,7,1,Java,What does Java question 37 do?,Какво прави Java въпрос 37?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,8,1,Java,What does Java question 38 do?,Какво прави Java въпрос 38?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,9,1,Java,What does Java question 39 do?,Какво прави Java въпрос 39?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
4,10,1,Java,What does Java question 40 do?,Какво прави Java въпрос 40?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,1,1,Java,What does Java question 41 do?,Какво прави Java въпрос 41?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,2,1,Java,What does Java question 42 do?,Какво прави Java въпрос 42?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,3,1,Java,What does Java question 43 do?,Какво прави Java въпрос 43?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,4,1,Java,What does Java question 44 do?,Какво прави Java въпрос 44?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,5,1,Java,What does Java question 45 do?,Какво прави Java въпрос 45?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,6,1,Java,What does Java question 46 do?,Какво прави Java въпрос 46?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,7,1,Java,What does Java question 47 do?,Какво прави Java въпрос 47?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,8,1,Java,What does Java question 48 do?,Какво прави Java въпрос 48?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,9,1,Java,What does Java question 49 do?,Какво прави Java въпрос 49?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
5,10,1,Java,What does Java question 50 do?,Какво прави Java въпрос 50?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,1,1,Java,What does Java question 51 do?,Какво прави Java въпрос 51?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,2,1,Java,What does Java question 52 do?,Какво прави Java въпрос 52?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,3,1,Java,What does Java question 53 do?,Какво прави Java въпрос 53?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,4,1,Java,What does Java question 54 do?,Какво прави Java въпрос 54?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,5,1,Java,What does Java question 55 do?,Какво прави Java въпрос 55?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,6,1,Java,What does Java question 56 do?,Какво прави Java въпрос 56?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,7,1,Java,What does Java question 57 do?,Какво прави Java въпрос 57?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,8,1,Java,What does Java question 58 do?,Какво прави Java въпрос 58?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,9,1,Java,What does Java question 59 do?,Какво прави Java въпрос 59?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
6,10,1,Java,What does Java question 60 do?,Какво прави Java въпрос 60?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,1,1,Java,What does Java question 61 do?,Какво прави Java въпрос 61?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,2,1,Java,What does Java question 62 do?,Какво прави Java въпрос 62?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,3,1,Java,What does Java question 63 do?,Какво прави Java въпрос 63?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,4,1,Java,What does Java question 64 do?,Какво прави Java въпрос 64?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,5,1,Java,What does Java question 65 do?,Какво прави Java въпрос 65?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,6,1,Java,What does Java question 66 do?,Какво прави Java въпрос 66?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,7,1,Java,What does Java question 67 do?,Какво прави Java въпрос 67?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,8,1,Java,What does Java question 68 do?,Какво прави Java въпрос 68?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,9,1,Java,What does Java question 69 do?,Какво прави Java въпрос 69?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
7,10,1,Java,What does Java question 70 do?,Какво прави Java въпрос 70?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,1,1,Java,What does Java question 71 do?,Какво прави Java въпрос 71?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,2,1,Java,What does Java question 72 do?,Какво прави Java въпрос 72?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,3,1,Java,What does Java question 73 do?,Какво прави Java въпрос 73?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,4,1,Java,What does Java question 74 do?,Какво прави Java въпрос 74?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,5,1,Java,What does Java question 75 do?,Какво прави Java въпрос 75?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,6,1,Java,What does Java question 76 do?,Какво прави Java въпрос 76?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,7,1,Java,What does Java question 77 do?,Какво прави Java въпрос 77?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,8,1,Java,What does Java question 78 do?,Какво прави Java въпрос 78?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,9,1,Java,What does Java question 79 do?,Какво прави Java въпрос 79?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
8,10,1,Java,What does Java question 80 do?,Какво прави Java въпрос 80?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,1,1,Java,What does Java question 81 do?,Какво прави Java въпрос 81?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,2,1,Java,What does Java question 82 do?,Какво прави Java въпрос 82?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,3,1,Java,What does Java question 83 do?,Какво прави Java въпрос 83?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,4,1,Java,What does Java question 84 do?,Какво прави Java въпрос 84?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,5,1,Java,What does Java question 85 do?,Какво прави Java въпрос 85?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,6,1,Java,What does Java question 86 do?,Какво прави Java въпрос 86?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,7,1,Java,What does Java question 87 do?,Какво прави Java въпрос 87?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,8,1,Java,What does Java question 88 do?,Какво прави Java въпрос 88?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,9,1,Java,What does Java question 89 do?,Какво прави Java въпрос 89?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
9,10,1,Java,What does Java question 90 do?,Какво прави Java въпрос 90?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,1,1,Java,What does Java question 91 do?,Какво прави Java въпрос 91?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,2,1,Java,What does Java question 92 do?,Какво прави Java въпрос 92?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,3,1,Java,What does Java question 93 do?,Какво прави Java въпрос 93?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,4,1,Java,What does Java question 94 do?,Какво прави Java въпрос 94?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,5,1,Java,What does Java question 95 do?,Какво прави Java въпрос 95?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,6,1,Java,What does Java question 96 do?,Какво прави Java въпрос 96?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,7,1,Java,What does Java question 97 do?,Какво прави Java въпрос 97?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,8,1,Java,What does Java question 98 do?,Какво прави Java въпрос 98?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,9,1,Java,What does Java question 99 do?,Какво прави Java въпрос 99?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
10,10,1,Java,What does Java question 100 do?,Какво прави Java въпрос 100?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
